_id,name,duration,firstYearRelease,countryOfOrigin,productionCompany,banner,status,type,description,rate,property,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],_class,tvShowID,actors[0],actors[1]
6625e6fe967796ed0924be08,Hollywoodland,197,2015,Thailand,"Johnson, Grant and Grant",http://dummyimage.com/172x100.png/ff4444/ffffff,COMING_SOON,TV_SHOW,"Supplement Tricuspid Valve with Autologous Tissue Substitute, Open Approach",9,,CRIME,DRAMA,MYSTERY,THRILLER,,,com.microservice.film_service.film_service.model.TVShow,,,
6625e6fe967796ed0924be09,Ironclad,81,2010,Norway,Lehner-Flatley,http://dummyimage.com/188x100.png/ff4444/ffffff,COMING_SOON,TV_SHOW,"Repair Nasal Turbinate, Via Natural or Artificial Opening",,,ACTION,ADVENTURE,,,,,,6620ef0cfc13ae0cffa24175,,
6625e6fe967796ed0924be0a,Payment Deferred,86,2012,Czech Republic,Oberbrunner-Beer,http://dummyimage.com/244x100.png/dddddd/000000,COMING_SOON,TV_SHOW,"Bypass Esophagus to Duodenum, Open Approach",,,DRAMA,,,,,,,6620ef0cfc13ae0cffa24176,,
6625e6fe967796ed0924be0b,"Love, Wedding, Marriage",153,2011,Colombia,"Nitzsche, Kulas and Tillman",http://dummyimage.com/231x100.png/cc0000/ffffff,COMING_SOON,TV_SHOW,"Dilation of Innominate Artery with Intraluminal Device, Percutaneous Endoscopic Approach",,,COMEDY,ROMANCE,,,,,,6620ef0cfc13ae0cffa24177,,
6625e6fe967796ed0924be0c,Endless Love,76,2019,Nigeria,Bogisich-Wuckert,http://dummyimage.com/151x100.png/ff4444/ffffff,COMING_SOON,TV_SHOW,"Removal of Autologous Tissue Substitute from Left Finger Phalangeal Joint, Open Approach",,,DRAMA,ROMANCE,,,,,,6620ef0cfc13ae0cffa24178,,
6625e6fe967796ed0924be0d,Casanova,59,2015,Uruguay,Trantow-Breitenberg,http://dummyimage.com/147x100.png/cc0000/ffffff,RELEASED,TV_SHOW,"Fusion of 8 or more Thoracic Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach",,,ACTION,ADVENTURE,COMEDY,DRAMA,ROMANCE,,,6620ef0cfc13ae0cffa24179,,
6625e6fe967796ed0924be0e,"Millionaire for Christy, A (Golden Goose) (No Room for the Groom)",67,2006,Portugal,McKenzie and Sons,http://dummyimage.com/235x100.png/5fa2dd/ffffff,RELEASED,TV_SHOW,"Revision of External Fixation Device in Left Hip Joint, External Approach",,,COMEDY,ROMANCE,,,,,,6620ef0cfc13ae0cffa2417a,,
6625e6fe967796ed0924be0f,"Mummy's Tomb, The",28,2010,Greece,Watsica and Sons,http://dummyimage.com/121x100.png/5fa2dd/ffffff,COMING_SOON,TV_SHOW,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach",,,HORROR,,,,,,,6620ef0cfc13ae0cffa2417b,,
6625e6fe967796ed0924be10,Blackboards (Takhté Siah),43,1999,France,Trantow Group,http://dummyimage.com/112x100.png/5fa2dd/ffffff,COMING_SOON,TV_SHOW,"Dilation of Right Hand Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",,,DRAMA,,,,,,,6620ef0cfc13ae0cffa2417c,,
6625e6fe967796ed0924be11,Look,176,2004,Indonesia,Funk Inc,http://dummyimage.com/104x100.png/dddddd/000000,COMING_SOON,TV_SHOW,"Revision of Nonautologous Tissue Substitute in Small Intestine, Open Approach",,,DRAMA,,,,,,,6620ef0cfc13ae0cffa2417d,,
